stem,status,shape_match,original_path,reconstruction_path,original_shape,reconstruction_shape,mse,rmse,mae,max_abs_diff,p95_abs_diff,psnr_db,ssim,pixel_equal_ratio
Places365_val_00000208,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000208.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000208_recon.png,256x256x3,256x256x3,438.5335998535156,20.941193849766915,15.494049072265625,164.0,43.0,21.710774868330304,0.8894490621232551,1.52587890625e-05
Places365_val_00000209,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000209.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000209_recon.png,256x256x3,256x256x3,276.5198974609375,16.628887439060303,12.176589965820312,116.0,35.0,23.713539737024924,0.9457151247561432,7.62939453125e-05
Places365_val_00000210,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000210.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000210_recon.png,256x256x3,256x256x3,370.7252502441406,19.254226815017542,13.96051025390625,165.0,41.0,22.44028193861174,0.9533399376240314,0.0
Places365_val_00000211,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000211.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000211_recon.png,256x256x3,256x256x3,340.8240966796875,18.46142184880914,12.79400634765625,143.0,40.0,22.80550068537726,0.9418875188703726,0.00018310546875
Places365_val_00000212,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000212.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000212_recon.png,256x256x3,256x256x3,236.43505859375,15.376444927022305,11.5916748046875,112.0,31.0,24.39368486692044,0.9731989451507025,0.00018310546875
Places365_val_00000213,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000213.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000213_recon.png,256x256x3,256x256x3,1101.892333984375,33.194763653088046,24.67891502380371,180.0,73.0,17.70941199238534,0.848376021786495,0.0
Places365_val_00000214,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000214.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000214_recon.png,256x256x3,256x256x3,885.8849487304688,29.763819458034426,22.353628158569336,146.0,64.0,18.657030378250386,0.7961489146225467,9.1552734375e-05
Places365_val_00000215,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000215.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000215_recon.png,256x256x3,256x256x3,427.215576171875,20.669193892647943,15.344696044921875,153.0,43.0,21.824332822917587,0.9589033623938665,1.52587890625e-05
Places365_val_00000216,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000216.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000216_recon.png,256x256x3,256x256x3,456.5316467285156,21.366601197394864,15.46051025390625,151.0,47.0,21.536094727036442,0.969865936104099,7.62939453125e-05
Places365_val_00000217,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000217.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000217_recon.png,256x256x3,256x256x3,388.6449279785156,19.714079435228914,14.021881103515625,155.0,41.0,22.235273565616833,0.9537889747399398,0.00152587890625
