# latent_filename	original_filename	quality_rank
d05b3f7926749ca65503b432912b2885933b5880dfa7b4d0546b85e2eee04cbd_latent.pt	00004417.jpg	1
2195ae3fea3ed414de9ec9160306c4d069812d7b40c3016b2f98e88f6dc4e050_latent.pt	00002504.jpg	2
fb0afa6bb9fb97b52e8679965e97c5958672654ef2efcfd5f52e8926ba49cca0_latent.pt	00000460.jpg	4
9b35c0359511803eca8bf7c0c86a0ec8c5d68f80505c675c3649321df87d58d7_latent.pt	00002575.jpg	5
c85e615f18587d34bcc84f2cef1e714b662edd30b5a19255bb8ff9c6aa417d51_latent.pt	00004968.jpg	6
0cd95c6358b8f2d3ebd31d78c390f51b1a13f17d5eae75c97bbb2dad41a4a174_latent.pt	00001221.jpg	7
1070eab0655ed5d8f4e04bb45995e9bb0477e00ea9b3825804be0025663e8852_latent.pt	00002123.jpg	8
092b5d0327f9c1ddd589dd6e403ce1c8c676926a1dfbee0205b0401659d311f5_latent.pt	00002080.jpg	9
0e82eaabe3021a7e4a453df6fc71f721abf78175c924e9f5b0940821ef258528_latent.pt	00001470.jpg	10
7b5569ec60ae6a78458d1b1cf433e99094cd5b6428ded3c1e91f71165fe2e6e6_latent.pt	00003197.jpg	11
e25e1aac31856552fc9bc29d5b465a61ebd091e5509301213beb12be6e54f5b7_latent.pt	00000780.jpg	13
cbbef2892fdcb83c0dead8992c2b2b525e89746f249be62b063ed2b3970231c5_latent.pt	00000800.jpg	15
39ce31f940bcf24f9b4c7afab54fea1cd421577b1528a723c247c79ace9afbf7_latent.pt	00002376.jpg	16
018df32a54b3164e732f79c24c409c31d79944d6e4d0b24b5cfc5d72e2a3c832_latent.pt	00001528.jpg	17
81b51957b3773d068a19d2ce0c3342cb408284a7bdeada4dc8c9b4509d95ac4b_latent.pt	00001350.jpg	18
9a6460554718d4760615503386ea82cfd75af691dc23f66101716786e396bb7b_latent.pt	00004402.jpg	19
8a7a9cd7baa79708eb73954df7c68cfc01a4825785f4789b43ce1c4122f67241_latent.pt	00003921.jpg	20
57017aba47ec03e9de9952880fa406129baa2ea2a89d7cebfd553ad520c684e0_latent.pt	00003479.jpg	22
3185399b23fb2996202d37d1093c476f5e9bce79a990417792c1cea8805bc59a_latent.pt	00003034.jpg	23
ace4dd0106ab2ec93c532869d0d61b9c097731bccdd89c6b6c399e7d3fb03f2c_latent.pt	00001811.jpg	25
6415b6f8b2767a53df49129510f976d71e9a40460ad4dd23691835e179b6f563_latent.pt	00004199.jpg	26
a300adea0ec9b6ecb689ab2a85a8b075ed300741b77907ae9173adfcd1212aaf_latent.pt	00002537.jpg	27
1484cf66255bb0669db3dd216bf2775d4b9ce35300d7bac83e17424b59ec15af_latent.pt	00001967.jpg	28
8603618a843944d3b327e3870f78517b7e4bd72502fdf8ffdca5301cc2e75964_latent.pt	00002771.jpg	30
3e0461db36f39b0286def603dec5c77acaabd7a12fac29eee6e55ad32c580fd2_latent.pt	00000994.jpg	31
c235b2c954200b0bf8f07c2ca713feac7ce0e3b790352795d01c7b13612f4ac7_latent.pt	00004484.jpg	32
821b9ddb69da330c3c198f31946fe81eea31e8722db3b75b3920834089f600fc_latent.pt	00003365.jpg	33
5500df58b9208f6d44b85484e4e66e41e221469b34c045e2367f9a3619bee50c_latent.pt	00003363.jpg	34
a62625e9a295bcf532d192839389dab0a1dfad1fed51c34f53e3a0823d517413_latent.pt	00004481.jpg	35
45e3d809a0c51256f3895a653287a0548128ce322bd5cd5ae01c5690df77f4e0_latent.pt	00004943.jpg	37
537e6d27d3c16eaed00226dce2199aae20191386b340681ffe03544e29bad00a_latent.pt	00001589.jpg	38
e60a4167be63ef185bd7644ec8b2c19721b080c6815e2d687c8da21c19b14ed5_latent.pt	00003411.jpg	39
834d8a8fc0f42498f29e99a27336bdd699925667c02e3d6f86c4e087b6f3937c_latent.pt	00001202.jpg	42
32cdc36d1c7ba93650f50f3d71d8e9bda2946b476d9c20ad32b1f996e5410dd5_latent.pt	00000303.jpg	43
8c3a5b6a79511646bdbe475e50afd77d5f7e5cbef234dcd9b478b94c376df13a_latent.pt	00001197.jpg	44
ed1208c678072ea2699f59f37603eae5386e5147131b4eb0a3061fa0aa838da6_latent.pt	00000593.jpg	45
4bf0a543bb81d7d0669d909c2f873bc78091a1bb3ef95a448154392b63692206_latent.pt	00000212.jpg	46
9606290729b169208633e0e2cac41b62f421b2caa223005d538a475f12f46d33_latent.pt	00001018.jpg	47
e55e3817e880dc011c8249b7631284b0649c9ba5d4dcdfae4abac06af7bed7cc_latent.pt	00004228.jpg	48
ea50a71c1cc611ac98b0019fd146ffc84387011bc08690132bc5f7451ca75a23_latent.pt	00000400.jpg	49
6bbacc21c574eddb4ac3bcd2d4206f3b74154ed5de7f5f6f7b28f5c9fd58ea73_latent.pt	00000808.jpg	50
16afc75459d3f33d1af6901449e86a4c55867e56157f5277a0af56402b48f301_latent.pt	00004057.jpg	51
72178a2c100d1939d7148fec8e88304e6a74a46b9b7c9e828719bbf3295144f6_latent.pt	00001191.jpg	52
a0e4552ae1c3e8965cc8ba86e45fb153497afb764ea7c7c559f35f13830212c2_latent.pt	00002670.jpg	53
18fc0691028d8bf118f18c98b8e285181d0fbde368a3f1371dd3578b9b893c92_latent.pt	00000357.jpg	54
f226032b9b54bde2f1370c251351b6fb22d2ee202822cdaadcd25b599dc9618d_latent.pt	00003672.jpg	55
1b1cd20aae3e3769ff4218cd0e8bf070c2580cb1c0abda14788b81abae75ce8e_latent.pt	00003224.jpg	56
bfe66ddbc5ed9c52b6bc0bd2881a4ecb686c0f16079e9f87c3acd7fed9b06ccc_latent.pt	00002595.jpg	57
e085d1d2ace2face2a62c734fc5f4fd77dcd7a9c8d17e916f8de56873bcb4e0e_latent.pt	00004756.jpg	58
fb9bf051ffa1e06409b528f59f86c1303f9cc9a30b859e060b9a2f260441eccd_latent.pt	00004015.jpg	60
af7744d8d08f8977e1952cb9145ef5e1e4531f4558272024ab43db9e09a96ea3_latent.pt	00002430.jpg	61
c8d027ea3c88182160572de2524f101f635407706c76b22951dd8ff73c794250_latent.pt	00000411.jpg	63
af196ae9ccbc3045c92a12de494881dbc4cd44d33dec7a0f1d45a7db3f1da8b5_latent.pt	00003852.jpg	64
7616558d2efa1d623f169fc21b51279112c190b7fbb85f1b3daa2de083c425aa_latent.pt	00002985.jpg	65
5d0ee89c033de18ef9aac526ea16dcccf11421c151a6174c664b12a0c2b28eec_latent.pt	00003764.jpg	66
5abf0ef47639c7cdb6b3faa6d3415d5b86a6d6ca3002ff9c86c3c3d8a857f11e_latent.pt	00001481.jpg	67
955689a0eeff9b1d0214025fdbc0b0bd7de91528feafad5a9958b2f3434093b6_latent.pt	00001692.jpg	68
5cdab02940913571ba797bc7539e0e33fc39138c077a49bdf703306882ded1d1_latent.pt	00003654.jpg	69
1a7242c1032ab688bed6c58f4422376d9546187c67b38bc24a52ff6b4941ea44_latent.pt	00002551.jpg	70
2d2ac7f28256c287d496ae507985545e20d12fd7fcf471a538a25f882291c718_latent.pt	00000297.jpg	71
e3063c39920e849de2c20bf71a12caf512eee34edcf9a543d004d4e1dc6e5364_latent.pt	00000416.jpg	72
